all_transcript_id	FTA-10	FTA-11	FTA-12	FTA-13	FTA-14	FTA-15	FTA-16	FTA-17	FTA-18	FTA-19	FTA-1	FTA-20	FTA-23	FTA-24	FTA-2	FTA-3	FTA-4	FTA-5	FTA-6	FTA-9	FTC-10	FTC-11	FTC-12	FTC-13	FTC-14	FTC-15	FTC-16	FTC-17	FTC-18	FTC-19	FTC-1	FTC-20	FTC-21	FTC-22	FTC-2	FTC-3	FTC-4	FTC-5	FTC-6	FTC-7	FTC-8
hsa-miR-199a-5p	10	17	11	12	14	8	31	9	17	4	31	2	7	9	29	21	47	7	38	21	23	4	7	17	170	137	4	13	60	7	12	5	2	6	7	5	10	28	12	11	16
hsa-miR-199b-3p	198	571	572	256	539	177	346	133	351	201	442	95	98	167	442	210	687	238	436	298	997	348	182	259	1673	2216	128	227	670	151	165	211	193	114	371	393	222	304	300	362	348
hsa-miR-199b-5p	0	4	0	1	5	3	6	2	1	1	2	3	0	0	0	2	5	4	3	2	3	1	1	0	7	5	2	3	7	1	2	0	2	2	0	6	3	5	0	0	3
hsa-miR-19a-3p	2	31	11	33	66	8	52	2	11	5	35	9	11	12	14	6	17	13	17	15	18	3	4	5	23	27	12	12	28	7	13	11	13	11	15	8	12	12	3	20	45
hsa-miR-19a-5p	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1
hsa-miR-19b-1-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-3p	30	236	45	324	416	49	267	35	70	77	231	28	29	36	82	35	111	46	95	73	115	31	25	36	155	111	32	46	271	48	46	103	62	26	56	88	47	85	17	245	166
hsa-miR-200a-3p	3	17	6	6	5	2	5	0	2	0	28	1	1	2	1	2	16	1	3	3	4	0	1	2	5	2	1	0	0	0	1	2	3	0	5	2	1	4	1	1	1
hsa-miR-200a-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-3p	0	11	1	3	0	0	2	0	1	0	14	0	0	1	0	1	5	0	2	1	6	0	1	0	4	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	2
hsa-miR-200b-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8
hsa-miR-200c-3p	8	72	10	20	28	7	15	9	20	8	119	3	3	9	17	10	29	11	10	21	16	4	14	15	29	22	8	10	11	8	8	14	11	6	8	24	8	34	3	9	14
hsa-miR-200c-5p	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-202-3p	0	1	0	2	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-202-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203a-3p	20	14	8	11	17	11	21	6	40	9	66	8	2	6	43	19	48	4	50	23	13	13	10	11	24	6	6	3	1	7	5	9	14	5	26	28	6	14	9	26	24
hsa-miR-203a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-204-3p	1	3	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	3	1	2	0	0	3	0	0	0
hsa-miR-204-5p	19	54	23	11	21	4	19	7	16	9	48	8	9	15	7	12	34	16	10	5	10	5	6	7	3	2	12	12	7	13	23	8	11	11	20	40	17	16	10	25	9
hsa-miR-2052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-205-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-205-5p	6	2	1	13	12	2	9	2	17	5	17	5	4	4	3	11	13	7	17	0	0	0	1	0	2	0	4	3	6	5	3	1	4	3	6	5	8	13	0	3	0
hsa-miR-206	0	0	3	2	4	1	3	1	1	1	0	3	4	9	1	1	5	12	11	2	1	1	0	0	0	2	5	3	7	3	3	0	9	5	3	7	4	3	2	3	1
hsa-miR-208a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208a-5p	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1
hsa-miR-208b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-208b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-3p	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
hsa-miR-20a-5p	52	277	55	255	480	52	348	53	135	46	292	43	38	64	135	66	162	42	117	121	133	24	35	24	65	70	33	43	77	53	46	162	59	27	72	89	56	126	21	163	239
hsa-miR-20b-3p	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-20b-5p	7	77	17	100	200	14	98	8	26	13	58	15	8	17	17	15	21	14	59	16	20	12	10	8	42	27	14	20	23	18	19	43	19	11	12	39	18	27	2	63	54
hsa-miR-210-3p	2	6	0	6	17	1	4	4	3	1	7	0	1	1	1	1	4	1	6	1	2	1	0	0	4	2	0	1	3	1	1	6	1	1	3	1	1	3	0	6	6
hsa-miR-210-5p	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2110	11	20	6	30	62	14	42	1	17	10	21	4	6	5	4	5	3	5	17	5	16	6	4	8	18	11	3	7	6	5	6	7	8	3	6	18	8	11	0	27	6
hsa-miR-2113	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-211-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-2114-3p	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-2114-5p	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-2115-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
hsa-miR-2115-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-211-5p	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-2116-3p	1	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
hsa-miR-2116-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-2117	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0
hsa-miR-212-3p	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-212-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-21-3p	0	3	5	0	5	1	5	0	1	1	3	3	0	2	0	2	2	2	1	1	1	5	0	1	12	7	1	0	12	0	1	0	2	0	2	4	0	2	0	2	2
hsa-miR-214-3p	7	4	0	4	15	2	6	0	4	1	4	0	0	0	2	4	6	0	5	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	4	1	5	0	2	0
hsa-miR-214-5p	0	1	0	1	2	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
hsa-miR-215-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-215-5p	2	3	1	6	16	0	8	2	8	0	0	1	0	1	6	1	6	0	4	1	1	0	1	5	4	4	0	0	1	0	0	3	0	0	2	2	0	0	2	4	5
hsa-miR-21-5p	908	1410	935	1112	2779	971	2433	335	1340	566	1171	639	662	723	751	874	2075	920	914	1856	1959	860	844	940	1827	1654	662	863	2185	886	866	891	922	641	906	916	955	821	365	1225	2636
hsa-miR-216a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-216a-5p	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-216b-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-216b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-217-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-217-5p	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-218-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-5p	0	13	4	3	12	4	4	0	8	3	2	0	3	0	5	0	11	2	2	6	4	2	4	4	6	12	0	0	3	5	0	2	4	0	5	2	3	2	0	4	2
hsa-miR-219a-1-3p	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-219a-2-3p	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-219a-5p	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	2	0	1	0	1	1	0	3	0	0	0	2	0	4	0	0	0	0	0	1
hsa-miR-219b-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-219b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-221-3p	187	282	148	224	527	109	510	60	230	86	347	72	75	119	170	248	511	117	155	90	391	69	82	79	244	290	89	171	478	99	107	152	116	99	201	249	111	349	63	137	140
hsa-miR-221-5p	2	0	2	1	6	1	1	1	3	1	2	2	1	2	1	2	8	2	2	1	16	2	1	0	6	15	2	3	4	1	0	0	2	2	1	6	2	3	0	0	4
hsa-miR-222-3p	103	88	52	39	160	28	175	18	74	27	122	30	32	43	85	80	152	47	52	64	124	29	49	29	85	89	30	38	53	38	32	29	43	27	51	65	53	132	18	27	45
hsa-miR-222-5p	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-223-3p	2984	4865	4200	1655	5589	1058	4954	1687	3721	1807	7583	1339	1522	2555	2501	3045	8888	2888	2710	3450	11009	2306	2147	2823	17838	13752	1883	3374	9346	2095	2253	2244	2396	1865	3587	2767	3779	7593	1512	2599	2011
hsa-miR-223-5p	17	41	43	13	54	21	27	8	26	14	43	17	12	21	18	18	59	24	18	43	155	69	20	32	380	341	17	33	50	18	17	12	20	13	40	22	39	23	19	21	26
hsa-miR-22-3p	71	243	45	241	343	76	482	31	85	50	273	40	34	42	145	55	121	45	121	51	101	12	20	27	29	42	37	47	64	43	42	131	48	28	62	60	54	160	6	185	110
hsa-miR-224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-224-5p	18	58	47	3	30	43	42	18	28	22	27	6	9	12	19	16	85	8	20	25	76	22	17	23	318	501	6	34	12	6	12	21	11	8	20	19	13	30	11	31	23
hsa-miR-22-5p	3	1	3	0	0	0	4	1	0	0	3	0	0	0	4	2	4	0	0	0	1	2	2	0	0	1	0	1	1	0	0	0	0	0	2	0	0	2	0	2	1
hsa-miR-2276-3p	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-2276-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-2277-3p	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	2	0	2	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
hsa-miR-2277-5p	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2278	0	1	0	1	0	0	0	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	4	0	0	1	1	1	0	0	0	0	0
hsa-miR-2355-3p	1	1	0	0	0	1	2	1	1	0	3	1	1	0	0	1	2	2	1	0	3	1	0	0	7	2	0	1	3	0	1	0	1	1	0	0	0	0	1	0	0
hsa-miR-2355-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2392	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-23a-3p	381	574	317	239	640	111	577	119	340	122	709	104	116	173	304	336	709	164	215	176	414	96	124	143	256	318	134	193	384	142	193	157	160	116	273	278	233	843	102	205	166
hsa-miR-23a-5p	0	1	0	2	2	0	2	0	1	0	6	0	0	1	0	2	3	2	3	0	1	0	0	0	5	2	0	1	0	0	0	1	0	0	0	0	2	5	0	0	0
hsa-miR-23b-3p	157	249	155	118	315	48	277	42	166	64	303	36	47	78	167	190	327	87	116	91	167	45	73	46	111	110	54	69	71	56	70	101	72	43	134	102	84	368	53	105	110
hsa-miR-23b-5p	1	2	0	5	4	0	2	1	0	1	4	0	0	0	1	0	1	0	0	0	2	1	2	1	7	2	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0
hsa-miR-23c	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-24-1-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-24-2-5p	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-24-3p	383	661	511	263	702	179	825	103	368	201	789	112	120	135	547	359	694	220	345	335	650	138	206	207	731	732	115	247	406	154	147	238	183	139	423	298	217	1008	142	296	253
hsa-miR-2467-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
hsa-miR-2467-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-25-3p	276	4224	789	3880	5060	781	3361	396	1094	1028	2152	573	448	559	698	439	729	533	1556	753	1538	548	272	266	1560	1026	384	484	867	551	503	2274	769	365	802	1550	562	496	297	5154	2542
hsa-miR-25-5p	3	7	9	12	13	4	18	3	4	5	7	4	3	6	2	1	2	4	10	5	7	5	2	9	7	4	4	4	5	6	4	9	6	2	7	9	5	0	2	14	4
hsa-miR-2681-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2681-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-2682-5p	2	1	1	1	4	1	3	2	4	0	0	1	0	1	1	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	3	2	1
hsa-miR-26a-1-3p	1	2	0	1	2	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	6	1	0	0	20	5	0	0	1	0	0	0	0	1	0	1	0	1	0	1	3
hsa-miR-26a-2-3p	3	3	2	1	5	0	1	0	2	2	3	0	1	0	1	0	5	0	0	1	1	0	3	3	0	3	0	0	7	1	0	1	0	0	1	1	0	0	0	1	4
hsa-miR-26a-5p	3247	11250	9128	4516	11492	2414	9115	1619	5266	3207	7067	1700	1751	2289	4212	2695	7817	3738	4723	3696	7056	2260	2397	2616	5804	5472	2101	2252	4221	2513	2518	4423	2836	1687	4770	4200	2950	5892	2543	9312	6039
hsa-miR-26b-3p	4	7	5	2	11	3	12	1	6	4	9	3	0	2	6	3	9	1	3	6	6	3	3	3	13	13	1	2	0	1	0	7	3	1	2	1	1	9	0	8	3
hsa-miR-26b-5p	1768	5883	3262	3023	9068	1373	6182	861	3085	1656	4785	1018	1007	1365	1833	1668	4548	1629	2146	2122	3904	1204	1571	1481	4953	4063	1068	1391	1842	1394	1384	2665	1531	925	1792	1595	1657	2920	892	3922	3577
hsa-miR-27a-3p	117	207	169	49	156	35	219	21	105	29	255	42	43	71	133	129	334	98	105	138	153	40	71	76	205	185	42	64	234	47	68	73	61	44	70	54	72	333	50	74	105
hsa-miR-27a-5p	4	20	8	3	13	8	9	1	4	2	9	2	2	2	5	5	5	2	5	5	7	3	3	0	1	2	2	3	5	2	2	8	3	1	2	4	2	12	4	6	6
hsa-miR-27b-3p	262	657	488	133	372	98	440	98	249	132	529	98	117	162	391	229	531	138	195	208	403	135	164	152	752	647	118	169	350	117	171	196	131	106	203	153	217	504	140	203	316
hsa-miR-27b-5p	1	0	1	0	3	1	4	1	1	0	3	0	0	0	15	2	0	0	1	0	3	3	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	3	2	1
hsa-miR-28-3p	37	174	156	31	128	38	81	26	68	45	115	50	62	87	42	36	106	87	69	65	178	69	26	57	422	253	58	81	115	72	75	41	67	56	69	69	92	56	57	69	77
hsa-miR-28-5p	7	11	4	1	12	2	6	2	6	0	5	2	1	0	6	2	12	2	0	5	8	1	3	1	6	4	2	3	2	1	3	1	0	0	4	2	1	12	2	3	1
hsa-miR-2861	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	1	2	3	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	3	2	0	2	1	0	0
hsa-miR-2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-296-3p	1	3	4	3	0	0	1	0	0	0	2	0	0	0	1	0	1	0	2	0	4	1	0	2	1	2	0	4	1	1	0	1	0	0	2	1	1	1	1	1	3
hsa-miR-296-5p	0	2	2	4	7	1	9	0	6	2	3	0	0	0	1	0	2	0	2	0	2	0	0	1	0	1	0	0	1	0	0	2	1	0	2	1	0	1	0	3	2
hsa-miR-297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-298	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-29a-3p	206	377	490	260	571	109	398	108	294	124	453	126	144	199	202	239	532	234	265	196	250	89	176	166	461	284	187	196	1397	219	264	136	234	161	377	543	271	257	181	196	256
hsa-miR-29a-5p	3	0	0	0	4	3	3	0	0	0	2	0	0	1	1	0	2	2	0	1	0	0	0	0	1	1	1	1	1	2	1	0	2	1	0	2	2	3	1	2	2
hsa-miR-29b-1-5p	0	4	0	0	1	0	1	2	2	0	0	2	1	0	0	1	0	1	0	1	2	0	0	0	0	0	2	1	1	1	1	1	1	1	0	0	2	0	1	0	1
hsa-miR-29b-2-5p	0	4	1	3	1	1	1	0	1	0	3	1	0	0	1	0	0	1	3	1	0	1	1	0	3	1	1	1	1	1	2	0	1	1	0	0	1	0	0	0	0
hsa-miR-29b-3p	142	456	290	205	385	77	662	63	176	135	489	92	116	163	279	186	515	274	252	128	184	49	90	164	292	217	149	147	324	172	179	128	150	101	230	130	160	358	101	152	159
hsa-miR-29c-3p	85	360	193	278	418	86	399	67	182	152	267	98	93	165	147	109	258	144	243	76	171	45	57	64	305	192	95	126	516	128	146	146	153	103	183	164	174	106	115	342	271
hsa-miR-29c-5p	12	26	10	19	24	5	28	3	9	6	14	4	5	8	4	21	20	5	4	3	10	4	6	4	5	9	3	11	2	1	12	8	6	4	5	10	8	17	4	8	6
hsa-miR-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301a-3p	1	21	4	10	28	1	17	1	5	2	15	0	1	3	3	5	16	0	7	6	4	2	11	2	23	22	0	5	8	2	0	7	1	2	4	1	2	5	0	8	6
hsa-miR-301a-5p	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0
hsa-miR-301b-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-301b-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
